airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-03-03,Delhi,Cochin,07:05:00,13:20:00,375,1.0,No info,17057
Air India,2019-03-09,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No info,7817
Go Air,2019-03-03,Banglore,New Delhi,20:55:00,23:50:00,175,0.0,No info,6722
Jet Airways,2019-05-06,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2228
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No info,13014
Jet Airways,2019-03-15,Banglore,New Delhi,16:55:00,00:45:00,470,1.0,No info,21934
Multiple Carriers,2019-03-27,Delhi,Cochin,15:05:00,01:35:00,630,1.0,No info,12327
Indigo,2019-04-21,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No info,5644
Indigo,2019-05-15,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,3419
Multiple Carriers,2019-06-15,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No info,9359
Air India,2019-05-27,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No info,7480
Indigo,2019-03-06,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,7295
Indigo,2019-03-21,Banglore,New Delhi,05:25:00,10:10:00,285,1.0,No info,6208
Jet Airways,2019-05-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,8040
Indigo,2019-03-09,Delhi,Cochin,08:35:00,21:20:00,765,2.0,No info,8146
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,09:15:00,810,1.0,In-flight meal not included,11134
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,10368
Indigo,2019-06-15,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No info,4823
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,10:25:00,695,1.0,1 Long layover,31825
Air India,2019-03-27,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,6902
Jet Airways,2019-06-12,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,5769
Air India,2019-05-21,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No info,8366
Air India,2019-05-09,Kolkata,Banglore,08:20:00,11:10:00,1610,2.0,No info,11222
Jet Airways,2019-06-12,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Jet Airways,2019-06-24,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No info,13376
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,10262
Jet Airways,2019-03-21,Delhi,Cochin,20:50:00,04:25:00,455,1.0,No info,14189
Indigo,2019-03-21,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No info,3342
Jet Airways,2019-06-15,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,10:20:00,18:50:00,510,1.0,No info,11421
Air Asia,2019-03-21,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,4082
Air India,2019-06-15,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No info,5201
Spicejet,2019-06-06,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,3625
Indigo,2019-05-18,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No info,4804
Air India,2019-03-09,Delhi,Cochin,04:00:00,07:40:00,1660,1.0,No info,10315
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,In-flight meal not included,10844
Indigo,2019-06-21,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No info,5780
Jet Airways,2019-05-21,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No info,16079
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,08:15:00,920,1.0,No info,13555
Indigo,2019-04-12,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No info,4990
Indigo,2019-06-24,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No info,5894
Indigo,2019-05-09,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,3943
Indigo,2019-04-01,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No info,4174
Air Asia,2019-04-27,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No info,6451
Jet Airways,2019-03-09,Delhi,Cochin,19:15:00,18:50:00,1415,1.0,In-flight meal not included,14053
Jet Airways,2019-05-15,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No info,7229
Indigo,2019-03-21,Delhi,Cochin,10:45:00,15:30:00,285,1.0,No info,6218
Multiple Carriers,2019-05-27,Delhi,Cochin,10:20:00,01:30:00,910,1.0,No info,6795
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,13344
Air India,2019-06-24,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No info,6961
Vistara,2019-04-06,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No info,5969
Vistara,2019-04-15,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No info,5403
Multiple Carriers,2019-05-15,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No info,8073
Jet Airways,2019-05-24,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No info,7229
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No info,14714
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,8586
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,19:50:00,1640,1.0,In-flight meal not included,9663
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12898
Air India,2019-03-27,Delhi,Cochin,20:30:00,08:15:00,705,1.0,No info,5998
Jet Airways,2019-03-03,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,No info,17024
Indigo,2019-05-21,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No info,4823
Indigo,2019-05-24,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No info,4226
Indigo,2019-04-24,Kolkata,Banglore,19:35:00,00:10:00,275,1.0,No info,4860
Indigo,2019-04-15,Delhi,Cochin,08:35:00,16:10:00,455,1.0,No info,6442
Indigo,2019-06-27,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No info,5894
Indigo,2019-06-06,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No info,5054
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,No info,9555
Jet Airways,2019-03-27,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,6645
Air Asia,2019-04-18,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No info,4409
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,13029
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No info,14388
Indigo,2019-06-06,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No info,4591
Indigo,2019-03-03,Chennai,Kolkata,14:40:00,17:05:00,145,0.0,No info,7295
Air India,2019-04-09,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No info,6674
Air Asia,2019-05-01,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No info,5192
Multiple Carriers,2019-03-06,Delhi,Cochin,18:00:00,01:35:00,455,1.0,No info,16863
Air India,2019-03-03,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No info,12760
Jet Airways,2019-06-15,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,10262
Vistara,2019-04-24,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No info,5403
Air India,2019-06-01,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,9929
Air India,2019-05-18,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No info,12199
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,19:40:00,790,1.0,No info,13339
Spicejet,2019-05-15,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Multiple Carriers,2019-06-24,Delhi,Cochin,14:00:00,01:30:00,690,1.0,No info,13377
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,10368
Indigo,2019-06-12,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,4804
Air India,2019-05-24,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No info,9941
Spicejet,2019-03-06,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No info,7298
Air India,2019-06-12,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No info,9416
Air India,2019-05-09,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No info,5201
Indigo,2019-03-21,Delhi,Cochin,17:10:00,01:35:00,505,1.0,No info,7318
Indigo,2019-05-06,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No info,4804
Indigo,2019-06-03,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No info,6416
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,23:25:00,1015,1.0,No info,13339
Jet Airways,2019-05-27,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No info,16079
Indigo,2019-06-15,Delhi,Cochin,09:15:00,21:00:00,705,1.0,No info,6838
Jet Airways,2019-06-09,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,5678
Vistara,2019-05-15,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No info,9345
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No info,10276
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,In-flight meal not included,9314
Indigo,2019-06-18,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No info,2227
Vistara,2019-05-24,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No info,5613
Spicejet,2019-04-24,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No info,5583
Spicejet,2019-05-21,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,3311
Air India,2019-05-18,Delhi,Cochin,23:00:00,07:40:00,520,1.0,No info,8372
Multiple Carriers,2019-05-21,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No info,16655
Air India,2019-03-27,Delhi,Cochin,17:40:00,08:15:00,875,1.0,No info,5998
Indigo,2019-06-24,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No info,6147
Spicejet,2019-06-15,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No info,3873
Spicejet,2019-03-21,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No check-in baggage included,3815
Air India,2019-05-12,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No info,11432
Air India,2019-06-24,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No info,6587
Indigo,2019-03-15,Banglore,New Delhi,16:50:00,21:35:00,285,1.0,No info,10406
Jet Airways,2019-03-09,Delhi,Cochin,21:50:00,18:50:00,1260,1.0,In-flight meal not included,13843
Vistara,2019-06-01,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No info,4878
Air India,2019-04-21,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No info,5228
Indigo,2019-06-01,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No info,10112
Jet Airways,2019-06-15,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4050
Air India,2019-06-01,Delhi,Cochin,13:30:00,23:00:00,570,1.0,No info,8907
Jet Airways,2019-04-01,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No info,7229
Jet Airways,2019-05-27,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No info,7229
Jet Airways,2019-06-09,Delhi,Cochin,21:25:00,12:35:00,910,2.0,No info,13292
Indigo,2019-05-01,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No info,4823
Air India,2019-05-15,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No info,13022
Spicejet,2019-06-21,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3873
Air India,2019-06-12,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No info,9416
Spicejet,2019-04-15,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No info,5221
Jet Airways,2019-05-12,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4050
Spicejet,2019-06-01,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No info,5975
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,8849
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No info,13292
Jet Airways,2019-05-21,Delhi,Cochin,13:00:00,19:00:00,360,1.0,No info,16079
Indigo,2019-06-01,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No info,7048
Indigo,2019-04-06,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No info,4423
Jet Airways,2019-03-21,Delhi,Cochin,08:00:00,18:50:00,650,1.0,In-flight meal not included,6540
Indigo,2019-05-21,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No info,2754
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No info,8820
Air India,2019-05-15,Delhi,Cochin,20:30:00,08:15:00,705,1.0,No info,10671
Jet Airways,2019-05-12,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No info,9358
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,23:35:00,1655,1.0,In-flight meal not included,10844
Jet Airways,2019-05-27,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,12898
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,12:35:00,1045,2.0,No info,15339
Indigo,2019-04-06,Delhi,Cochin,10:35:00,15:35:00,300,1.0,No info,5073
Jet Airways,2019-06-01,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No info,14714
Spicejet,2019-04-03,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3873
Spicejet,2019-06-09,Kolkata,Banglore,15:55:00,21:25:00,330,1.0,No info,9158
Air India,2019-05-01,Delhi,Cochin,17:15:00,09:25:00,970,2.0,No info,8839
Multiple Carriers,2019-05-27,Delhi,Cochin,17:45:00,01:30:00,465,1.0,No info,6795
Jet Airways,2019-06-15,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,10262
Air India,2019-06-24,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,6961
Jet Airways,2019-06-12,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,5769
Jet Airways,2019-06-27,Delhi,Cochin,11:40:00,19:00:00,440,2.0,No info,18804
Vistara,2019-05-18,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No info,4878
Air India,2019-03-01,Banglore,New Delhi,17:00:00,23:10:00,370,1.0,No info,11628
Air India,2019-06-12,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No info,13532
Jet Airways,2019-05-12,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No info,7229
Spicejet,2019-03-24,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No info,4377
Air India,2019-06-01,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No info,12940
Air Asia,2019-05-18,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No info,6857
Vistara,2019-05-06,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No info,8662
Vistara,2019-05-03,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No info,3687
Indigo,2019-06-24,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No info,6093
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,05:05:00,1045,1.0,No info,13555
Jet Airways,2019-06-27,Delhi,Cochin,06:45:00,12:35:00,1790,2.0,No info,13376
Indigo,2019-04-06,Kolkata,Banglore,06:15:00,10:30:00,255,1.0,No info,4226
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No info,12681
Indigo,2019-06-12,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No info,6442
Multiple Carriers,2019-05-27,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No info,9718
Multiple Carriers,2019-06-06,Delhi,Cochin,15:15:00,01:30:00,615,1.0,No info,6795
Jet Airways,2019-06-27,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No info,8016
Jet Airways,2019-03-21,Delhi,Cochin,20:50:00,04:25:00,455,1.0,In-flight meal not included,9212
Indigo,2019-03-21,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No info,6838
Air India,2019-05-24,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No info,9416
Air India,2019-03-09,Banglore,New Delhi,11:05:00,22:45:00,700,1.0,No info,10657
Indigo,2019-04-03,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,3943
Air India,2019-05-21,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No info,14960
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,08:10:00,660,1.0,In-flight meal not included,11134
Air India,2019-03-06,Mumbai,Hyderabad,06:10:00,21:15:00,905,1.0,No info,16666
Jet Airways,2019-03-09,Banglore,New Delhi,08:55:00,11:25:00,1590,1.0,In-flight meal not included,11087
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,No info,13044
Vistara,2019-06-15,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No info,4878
Jet Airways,2019-05-12,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4030
Air India,2019-06-09,Kolkata,Banglore,16:45:00,21:05:00,1700,1.0,No info,7662
Air India,2019-06-03,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No info,8372
Jet Airways,2019-05-09,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No info,7229
Spicejet,2019-05-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2385
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No info,14571
Spicejet,2019-05-03,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,No info,14571
Air India,2019-05-09,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No info,7174
Indigo,2019-04-21,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No info,3943
Multiple Carriers,2019-05-27,Delhi,Cochin,16:00:00,01:30:00,570,1.0,In-flight meal not included,7308
Vistara,2019-05-24,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No info,9397
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,8586
Multiple Carriers,2019-05-21,Delhi,Cochin,07:05:00,18:10:00,665,1.0,No info,9646
Jet Airways,2019-06-01,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,In-flight meal not included,10919
Multiple Carriers,2019-03-09,Delhi,Cochin,17:25:00,01:35:00,490,1.0,In-flight meal not included,12616
Air India,2019-04-09,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,4487
Indigo,2019-03-18,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No info,4049
Go Air,2019-03-06,Delhi,Cochin,10:25:00,19:20:00,535,1.0,No info,8213
Spicejet,2019-06-06,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No info,3311
Spicejet,2019-06-09,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,3597
Jet Airways,2019-03-21,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,6017
Multiple Carriers,2019-06-01,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No info,9779
Jet Airways,2019-04-18,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No info,7229
Air India,2019-06-21,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No info,5510
Jet Airways,2019-06-09,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No info,5678
Multiple Carriers,2019-05-15,Delhi,Cochin,06:00:00,12:35:00,395,1.0,No info,9794
Jet Airways,2019-03-21,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,5963
Indigo,2019-06-01,Delhi,Cochin,07:15:00,12:30:00,315,1.0,No info,6582
Jet Airways,2019-06-09,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Indigo,2019-03-24,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No info,5618
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No info,13731
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,11:25:00,755,1.0,1 Long layover,31825
Jet Airways,2019-05-09,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No info,14657
